TYPE,STATE,AREANAME,Housing,Food,Child care,Transportation,Health care,Other Necessities,Taxes,Monthly Total,Annual Total
1P1C,CA,"Salinas, CA MSA","$1,223",$369,$720,$480,$910,$408,$585,"$4,694","$56,326"
1P1C,CA,"San Benito County, CA HUD Metro FMR Area","$1,179",$369,$720,$459,$949,$396,$572,"$4,645","$55,739"
1P1C,CA,"San Diego-Carlsbad-San Marcos, CA MSA","$1,382",$369,$720,$480,$871,$448,$647,"$4,917","$59,004"
1P1C,CA,"San Francisco, CA HUD Metro FMR Area","$1,795",$369,$720,$480,"$1,096",$554,$825,"$5,838","$70,059"
1P1C,CA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area","$1,610",$369,$720,$480,$987,$507,$752,"$5,424","$65,084"
1P1C,CA,"San Luis Obispo-Paso Robles, CA MSA","$1,136",$369,$720,$480,$910,$385,$546,"$4,546","$54,551"
1P1C,CA,"Santa Barbara-Santa Maria-Goleta, CA MSA","$1,426",$369,$720,$480,$910,$460,$668,"$5,032","$60,388"
1P1C,CA,"Santa Cruz-Watsonville, CA MSA","$1,587",$369,$720,$480,$910,$501,$734,"$5,300","$63,604"
1P1C,CA,"Santa Rosa-Petaluma, CA MSA","$1,332",$369,$720,$480,$910,$435,$634,"$4,880","$58,557"
1P1C,CA,"Stockton, CA MSA",$997,$369,$720,$480,$910,$350,$495,"$4,321","$51,848"
1P1C,CA,"Vallejo-Fairfield, CA MSA","$1,166",$369,$720,$480,$910,$393,$559,"$4,597","$55,163"
1P1C,CA,"Visalia-Porterville, CA MSA",$768,$369,$720,$480,$910,$291,$453,"$3,991","$47,888"
1P1C,CA,"Yolo, CA HUD Metro FMR Area","$1,082",$369,$720,$459,$949,$371,$531,"$4,482","$53,780"
1P1C,CA,"Yuba City, CA MSA",$812,$369,$720,$459,$910,$302,$422,"$3,995","$47,935"
1P2C,CA,"Bakersfield, CA MSA",$804,$546,$953,$480,"$1,357",$346,$395,"$4,880","$58,562"
1P2C,CA,"Chico, CA MSA",$878,$546,$953,$459,"$1,357",$364,$419,"$4,977","$59,721"
1P2C,CA,"El Centro, CA MSA",$822,$546,$953,$459,"$1,357",$350,$385,"$4,872","$58,466"
1P2C,CA,"Fresno, CA MSA",$878,$546,$953,$480,"$1,357",$364,$428,"$5,007","$60,079"
1P2C,CA,"Hanford-Corcoran, CA MSA",$778,$546,$953,$459,"$1,357",$339,$361,"$4,793","$57,514"
1P2C,CA,"Los Angeles-Long Beach, CA HUD Metro FMR Area","$1,421",$546,$953,$450,"$1,514",$503,$658,"$6,045","$72,544"
1P2C,CA,"Madera, CA MSA",$861,$546,$953,$459,"$1,357",$360,$408,"$4,945","$59,338"
1P2C,CA,"Merced, CA MSA",$772,$546,$953,$480,"$1,357",$337,$366,"$4,811","$57,734"
1P2C,CA,"Modesto, CA MSA",$941,$546,$953,$480,"$1,357",$381,$456,"$5,113","$61,361"
1P2C,CA,"Napa, CA MSA","$1,302",$546,$953,$459,"$1,357",$473,$608,"$5,699","$68,382"
1P2C,CA,"Oakland-Fremont, CA HUD Metro FMR Area","$1,361",$546,$953,$480,"$1,421",$488,$666,"$5,915","$70,978"
1P2C,CA,"Orange County, CA HUD Metro FMR Area","$1,621",$546,$953,$480,"$1,421",$555,$776,"$6,351","$76,210"
1P2C,CA,"Oxnard-Thousand Oaks-Ventura, CA MSA","$1,499",$546,$953,$480,"$1,357",$523,$697,"$6,055","$72,665"
1P2C,CA,"Redding, CA MSA",$949,$546,$953,$459,"$1,357",$383,$458,"$5,105","$61,261"
1P2C,CA,"Riverside-San Bernardino-Ontario, CA MSA","$1,116",$546,$953,$480,"$1,425",$425,$533,"$5,478","$65,741"
1P2C,CA,Rural,$899,$546,$890,$570,"$1,421",$370,$476,"$5,172","$62,058"
1P2C,CA,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area","$1,073",$546,$953,$480,"$1,260",$414,$518,"$5,244","$62,926"
1P2C,CA,"Salinas, CA MSA","$1,223",$546,$953,$480,"$1,357",$453,$585,"$5,597","$67,160"
1P2C,CA,"San Benito County, CA HUD Metro FMR Area","$1,179",$546,$953,$459,"$1,421",$442,$582,"$5,581","$66,973"
1P2C,CA,"San Diego-Carlsbad-San Marcos, CA MSA","$1,382",$546,$953,$480,"$1,295",$493,$647,"$5,796","$69,555"
1P2C,CA,"San Francisco, CA HUD Metro FMR Area","$1,795",$546,$953,$480,"$1,515",$599,$837,"$6,725","$80,703"
1P2C,CA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area","$1,610",$546,$953,$480,"$1,403",$552,$757,"$6,301","$75,618"
1P2C,CA,"San Luis Obispo-Paso Robles, CA MSA","$1,136",$546,$953,$480,"$1,357",$431,$545,"$5,447","$65,369"
1P2C,CA,"Santa Barbara-Santa Maria-Goleta, CA MSA","$1,426",$546,$953,$480,"$1,357",$505,$669,"$5,936","$71,229"
1P2C,CA,"Santa Cruz-Watsonville, CA MSA","$1,587",$546,$953,$480,"$1,357",$546,$734,"$6,203","$74,435"
1P2C,CA,"Santa Rosa-Petaluma, CA MSA","$1,332",$546,$953,$480,"$1,357",$481,$635,"$5,783","$69,401"
1P2C,CA,"Stockton, CA MSA",$997,$546,$953,$480,"$1,357",$395,$482,"$5,210","$62,518"
1P2C,CA,"Vallejo-Fairfield, CA MSA","$1,166",$546,$953,$480,"$1,357",$438,$559,"$5,499","$65,991"
1P2C,CA,"Visalia-Porterville, CA MSA",$768,$546,$953,$480,"$1,357",$336,$403,"$4,843","$58,114"
1P2C,CA,"Yolo, CA HUD Metro FMR Area","$1,082",$546,$953,$459,"$1,421",$417,$536,"$5,414","$64,967"
1P2C,CA,"Yuba City, CA MSA",$812,$546,$953,$459,"$1,357",$348,$384,"$4,859","$58,311"
1P3C,CA,"Bakersfield, CA MSA","$1,179",$735,"$1,187",$480,"$1,413",$490,$615,"$6,099","$73,192"
1P3C,CA,"Chico, CA MSA","$1,253",$735,"$1,187",$459,"$1,413",$509,$635,"$6,192","$74,302"
1P3C,CA,"El Centro, CA MSA","$1,211",$735,"$1,187",$459,"$1,413",$498,$617,"$6,121","$73,453"
1P3C,CA,"Fresno, CA MSA","$1,234",$735,"$1,187",$480,"$1,413",$504,$631,"$6,185","$74,216"
1P3C,CA,"Hanford-Corcoran, CA MSA","$1,106",$735,"$1,187",$459,"$1,413",$471,$568,"$5,940","$71,284"
1P3C,CA,"Los Angeles-Long Beach, CA HUD Metro FMR Area","$1,921",$735,"$1,187",$450,"$1,570",$680,$942,"$7,485","$89,816"
1P3C,CA,"Madera, CA MSA","$1,251",$735,"$1,187",$459,"$1,413",$508,$632,"$6,186","$74,235"
1P3C,CA,"Merced, CA MSA","$1,138",$735,"$1,187",$480,"$1,413",$480,$591,"$6,024","$72,291"
1P3C,CA,"Modesto, CA MSA","$1,387",$735,"$1,187",$480,"$1,413",$543,$700,"$6,445","$77,343"
1P3C,CA,"Napa, CA MSA","$1,858",$735,"$1,187",$459,"$1,413",$664,$913,"$7,229","$86,752"
1P3C,CA,"Oakland-Fremont, CA HUD Metro FMR Area","$1,901",$735,"$1,187",$480,"$1,501",$675,$984,"$7,463","$89,560"
1P3C,CA,"Orange County, CA HUD Metro FMR Area","$2,268",$735,"$1,187",$480,"$1,501",$769,"$1,138","$8,078","$96,933"
1P3C,CA,"Oxnard-Thousand Oaks-Ventura, CA MSA","$2,070",$735,"$1,187",$480,"$1,413",$718,"$1,010","$7,614","$91,365"
1P3C,CA,"Redding, CA MSA","$1,398",$735,"$1,187",$459,"$1,413",$546,$704,"$6,442","$77,309"
1P3C,CA,"Riverside-San Bernardino-Ontario, CA MSA","$1,577",$735,"$1,187",$480,"$1,481",$592,$781,"$6,833","$81,999"
1P3C,CA,Rural,"$1,263",$735,"$1,124",$570,"$1,501",$511,$699,"$6,403","$76,835"
1P3C,CA,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area","$1,581",$735,"$1,187",$480,"$1,316",$593,$793,"$6,685","$80,217"
1P3C,CA,"Salinas, CA MSA","$1,784",$735,"$1,187",$480,"$1,413",$645,$893,"$7,137","$85,646"
1P3C,CA,"San Benito County, CA HUD Metro FMR Area","$1,737",$735,"$1,187",$459,"$1,501",$633,$900,"$7,153","$85,830"
1P3C,CA,"San Diego-Carlsbad-San Marcos, CA MSA","$2,009",$735,"$1,187",$480,"$1,351",$703,$983,"$7,448","$89,373"
1P3C,CA,"San Francisco, CA HUD Metro FMR Area","$2,438",$735,"$1,187",$480,"$1,571",$812,"$1,197","$8,420","$101,042"
1P3C,CA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area","$2,270",$735,"$1,187",$480,"$1,460",$769,"$1,129","$8,030","$96,358"
1P3C,CA,"San Luis Obispo-Paso Robles, CA MSA","$1,674",$735,"$1,187",$480,"$1,413",$617,$835,"$6,941","$83,289"
1P3C,CA,"Santa Barbara-Santa Maria-Goleta, CA MSA","$1,906",$735,"$1,187",$480,"$1,413",$676,$944,"$7,342","$88,103"
1P3C,CA,"Santa Cruz-Watsonville, CA MSA","$2,045",$735,"$1,187",$480,"$1,413",$712,$991,"$7,563","$90,757"
1P3C,CA,"Santa Rosa-Petaluma, CA MSA","$1,963",$735,"$1,187",$480,"$1,413",$691,$988,"$7,457","$89,481"
1P3C,CA,"Stockton, CA MSA","$1,469",$735,"$1,187",$480,"$1,413",$564,$741,"$6,590","$79,077"
1P3C,CA,"Vallejo-Fairfield, CA MSA","$1,718",$735,"$1,187",$480,"$1,413",$628,$860,"$7,021","$84,251"
1P3C,CA,"Visalia-Porterville, CA MSA","$1,132",$735,"$1,187",$480,"$1,413",$478,$599,"$6,025","$72,296"
1P3C,CA,"Yolo, CA HUD Metro FMR Area","$1,594",$735,"$1,187",$459,"$1,501",$596,$824,"$6,897","$82,764"
1P3C,CA,"Yuba City, CA MSA","$1,173",$735,"$1,187",$459,"$1,413",$489,$602,"$6,058","$72,695"
2P1C,CA,"Bakersfield, CA MSA",$804,$598,$720,$607,"$1,360",$359,$346,"$4,794","$57,526"
2P1C,CA,"Chico, CA MSA",$878,$598,$720,$603,"$1,360",$378,$379,"$4,915","$58,985"
2P1C,CA,"El Centro, CA MSA",$822,$598,$720,$603,"$1,360",$363,$350,"$4,816","$57,793"
2P1C,CA,"Fresno, CA MSA",$878,$598,$720,$607,"$1,360",$378,$380,"$4,921","$59,048"
2P1C,CA,"Hanford-Corcoran, CA MSA",$778,$598,$720,$603,"$1,360",$352,$330,"$4,740","$56,882"
2P1C,CA,"Los Angeles-Long Beach, CA HUD Metro FMR Area","$1,421",$598,$720,$577,"$1,516",$517,$572,"$5,921","$71,052"
2P1C,CA,"Madera, CA MSA",$861,$598,$720,$603,"$1,360",$373,$370,"$4,885","$58,618"
2P1C,CA,"Merced, CA MSA",$772,$598,$720,$607,"$1,360",$351,$328,"$4,735","$56,823"
2P1C,CA,"Modesto, CA MSA",$941,$598,$720,$607,"$1,360",$394,$410,"$5,030","$60,359"
2P1C,CA,"Napa, CA MSA","$1,302",$598,$720,$603,"$1,360",$486,$537,"$5,605","$67,263"
2P1C,CA,"Oakland-Fremont, CA HUD Metro FMR Area","$1,361",$598,$720,$607,"$1,414",$501,$575,"$5,776","$69,309"
2P1C,CA,"Orange County, CA HUD Metro FMR Area","$1,621",$598,$720,$607,"$1,414",$568,$663,"$6,190","$74,282"
2P1C,CA,"Oxnard-Thousand Oaks-Ventura, CA MSA","$1,499",$598,$720,$607,"$1,360",$537,$605,"$5,925","$71,106"
2P1C,CA,"Redding, CA MSA",$949,$598,$720,$603,"$1,360",$396,$415,"$5,040","$60,482"
2P1C,CA,"Riverside-San Bernardino-Ontario, CA MSA","$1,116",$598,$720,$607,"$1,427",$439,$471,"$5,378","$64,537"
2P1C,CA,Rural,$899,$598,$656,$717,"$1,414",$383,$422,"$5,089","$61,073"
2P1C,CA,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area","$1,073",$598,$720,$607,"$1,263",$428,$458,"$5,146","$61,755"
2P1C,CA,"Salinas, CA MSA","$1,223",$598,$720,$607,"$1,360",$466,$513,"$5,486","$65,835"
2P1C,CA,"San Benito County, CA HUD Metro FMR Area","$1,179",$598,$720,$603,"$1,414",$455,$511,"$5,480","$65,756"
2P1C,CA,"San Diego-Carlsbad-San Marcos, CA MSA","$1,382",$598,$720,$607,"$1,298",$507,$564,"$5,676","$68,107"
2P1C,CA,"San Francisco, CA HUD Metro FMR Area","$1,795",$598,$720,$607,"$1,517",$613,$709,"$6,558","$78,700"
2P1C,CA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area","$1,610",$598,$720,$607,"$1,406",$565,$648,"$6,154","$73,851"
2P1C,CA,"San Luis Obispo-Paso Robles, CA MSA","$1,136",$598,$720,$607,"$1,360",$444,$480,"$5,345","$64,136"
2P1C,CA,"Santa Barbara-Santa Maria-Goleta, CA MSA","$1,426",$598,$720,$607,"$1,360",$518,$581,"$5,810","$69,722"
2P1C,CA,"Santa Cruz-Watsonville, CA MSA","$1,587",$598,$720,$607,"$1,360",$559,$636,"$6,067","$72,800"
2P1C,CA,"Santa Rosa-Petaluma, CA MSA","$1,332",$598,$720,$607,"$1,360",$494,$552,"$5,663","$67,952"
2P1C,CA,"Stockton, CA MSA",$997,$598,$720,$607,"$1,360",$408,$430,"$5,120","$61,441"
2P1C,CA,"Vallejo-Fairfield, CA MSA","$1,166",$598,$720,$607,"$1,360",$452,$492,"$5,394","$64,724"
2P1C,CA,"Visalia-Porterville, CA MSA",$768,$598,$720,$607,"$1,360",$350,$339,"$4,741","$56,896"
2P1C,CA,"Yolo, CA HUD Metro FMR Area","$1,082",$598,$720,$603,"$1,414",$430,$475,"$5,321","$63,857"
2P1C,CA,"Yuba City, CA MSA",$812,$598,$720,$603,"$1,360",$361,$348,"$4,801","$57,613"
2P2C,CA,"Bakersfield, CA MSA",$804,$754,$953,$607,"$1,416",$399,$302,"$5,235","$62,816"
2P2C,CA,"Chico, CA MSA",$878,$754,$953,$603,"$1,416",$418,$342,"$5,363","$64,360"
2P2C,CA,"El Centro, CA MSA",$822,$754,$953,$603,"$1,416",$403,$308,"$5,259","$63,111"
2P2C,CA,"Fresno, CA MSA",$878,$754,$953,$607,"$1,416",$418,$342,"$5,368","$64,418"
2P2C,CA,"Hanford-Corcoran, CA MSA",$778,$754,$953,$603,"$1,416",$392,$280,"$5,176","$62,109"
2P2C,CA,"Los Angeles-Long Beach, CA HUD Metro FMR Area","$1,421",$754,$953,$577,"$1,573",$557,$534,"$6,369","$76,424"
2P2C,CA,"Madera, CA MSA",$861,$754,$953,$603,"$1,416",$413,$332,"$5,332","$63,987"
2P2C,CA,"Merced, CA MSA",$772,$754,$953,$607,"$1,416",$391,$278,"$5,170","$62,043"
2P2C,CA,"Modesto, CA MSA",$941,$754,$953,$607,"$1,416",$434,$366,"$5,471","$65,654"
2P2C,CA,"Napa, CA MSA","$1,302",$754,$953,$603,"$1,416",$526,$497,"$6,052","$72,619"
2P2C,CA,"Oakland-Fremont, CA HUD Metro FMR Area","$1,361",$754,$953,$607,"$1,494",$541,$544,"$6,255","$75,064"
2P2C,CA,"Orange County, CA HUD Metro FMR Area","$1,621",$754,$953,$607,"$1,494",$608,$635,"$6,672","$80,069"
2P2C,CA,"Oxnard-Thousand Oaks-Ventura, CA MSA","$1,499",$754,$953,$607,"$1,416",$577,$568,"$6,374","$76,488"
2P2C,CA,"Redding, CA MSA",$949,$754,$953,$603,"$1,416",$436,$371,"$5,482","$65,779"
2P2C,CA,"Riverside-San Bernardino-Ontario, CA MSA","$1,116",$754,$953,$607,"$1,484",$479,$430,"$5,823","$69,870"
2P2C,CA,Rural,$899,$754,$890,$717,"$1,494",$423,$390,"$5,567","$66,809"
2P2C,CA,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area","$1,073",$754,$953,$607,"$1,319",$468,$416,"$5,590","$67,078"
2P2C,CA,"Salinas, CA MSA","$1,223",$754,$953,$607,"$1,416",$506,$472,"$5,931","$71,177"
2P2C,CA,"San Benito County, CA HUD Metro FMR Area","$1,179",$754,$953,$603,"$1,494",$495,$478,"$5,957","$71,479"
2P2C,CA,"San Diego-Carlsbad-San Marcos, CA MSA","$1,382",$754,$953,$607,"$1,354",$547,$526,"$6,123","$73,473"
2P2C,CA,"San Francisco, CA HUD Metro FMR Area","$1,795",$754,$953,$607,"$1,574",$652,$676,"$7,011","$84,133"
2P2C,CA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area","$1,610",$754,$953,$607,"$1,462",$605,$614,"$6,605","$79,261"
2P2C,CA,"San Luis Obispo-Paso Robles, CA MSA","$1,136",$754,$953,$607,"$1,416",$484,$440,"$5,789","$69,473"
2P2C,CA,"Santa Barbara-Santa Maria-Goleta, CA MSA","$1,426",$754,$953,$607,"$1,416",$558,$544,"$6,258","$75,098"
2P2C,CA,"Santa Cruz-Watsonville, CA MSA","$1,587",$754,$953,$607,"$1,416",$599,$600,"$6,516","$78,194"
2P2C,CA,"Santa Rosa-Petaluma, CA MSA","$1,332",$754,$953,$607,"$1,416",$534,$513,"$6,109","$73,313"
2P2C,CA,"Stockton, CA MSA",$997,$754,$953,$607,"$1,416",$448,$387,"$5,563","$66,751"
2P2C,CA,"Vallejo-Fairfield, CA MSA","$1,166",$754,$953,$607,"$1,416",$491,$451,"$5,838","$70,060"
2P2C,CA,"Visalia-Porterville, CA MSA",$768,$754,$953,$607,"$1,416",$390,$284,"$5,171","$62,054"
2P2C,CA,"Yolo, CA HUD Metro FMR Area","$1,082",$754,$953,$603,"$1,494",$470,$442,"$5,798","$69,577"
2P2C,CA,"Yuba City, CA MSA",$812,$754,$953,$603,"$1,416",$401,$303,"$5,242","$62,907"
2P3C,CA,"Bakersfield, CA MSA","$1,179",$921,"$1,187",$607,"$1,472",$538,$473,"$6,376","$76,515"
2P3C,CA,"Chico, CA MSA","$1,253",$921,"$1,187",$603,"$1,472",$556,$497,"$6,490","$77,876"
2P3C,CA,"El Centro, CA MSA","$1,211",$921,"$1,187",$603,"$1,472",$546,$482,"$6,421","$77,056"
2P3C,CA,"Fresno, CA MSA","$1,234",$921,"$1,187",$607,"$1,472",$552,$490,"$6,462","$77,545"
2P3C,CA,"Hanford-Corcoran, CA MSA","$1,106",$921,"$1,187",$603,"$1,472",$519,$441,"$6,249","$74,982"
2P3C,CA,"Los Angeles-Long Beach, CA HUD Metro FMR Area","$1,921",$921,"$1,187",$577,"$1,629",$727,$730,"$7,693","$92,312"
2P3C,CA,"Madera, CA MSA","$1,251",$921,"$1,187",$603,"$1,472",$556,$495,"$6,485","$77,823"
2P3C,CA,"Merced, CA MSA","$1,138",$921,"$1,187",$607,"$1,472",$527,$455,"$6,307","$75,684"
2P3C,CA,"Modesto, CA MSA","$1,387",$921,"$1,187",$607,"$1,472",$591,$548,"$6,712","$80,546"
2P3C,CA,"Napa, CA MSA","$1,858",$921,"$1,187",$603,"$1,472",$711,$715,"$7,467","$89,603"
2P3C,CA,"Oakland-Fremont, CA HUD Metro FMR Area","$1,901",$921,"$1,187",$607,"$1,575",$722,$763,"$7,676","$92,111"
2P3C,CA,"Orange County, CA HUD Metro FMR Area","$2,268",$921,"$1,187",$607,"$1,575",$816,$890,"$8,264","$99,168"
2P3C,CA,"Oxnard-Thousand Oaks-Ventura, CA MSA","$2,070",$921,"$1,187",$607,"$1,472",$766,$788,"$7,811","$93,731"
2P3C,CA,"Redding, CA MSA","$1,398",$921,"$1,187",$603,"$1,472",$594,$554,"$6,728","$80,740"
2P3C,CA,"Riverside-San Bernardino-Ontario, CA MSA","$1,577",$921,"$1,187",$607,"$1,540",$639,$612,"$7,083","$84,999"
2P3C,CA,Rural,"$1,263",$921,"$1,124",$717,"$1,575",$559,$552,"$6,710","$80,517"
2P3C,CA,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area","$1,581",$921,"$1,187",$607,"$1,375",$640,$618,"$6,929","$83,146"
2P3C,CA,"Salinas, CA MSA","$1,784",$921,"$1,187",$607,"$1,472",$692,$692,"$7,355","$88,265"
2P3C,CA,"San Benito County, CA HUD Metro FMR Area","$1,737",$921,"$1,187",$603,"$1,575",$680,$705,"$7,408","$88,893"
2P3C,CA,"San Diego-Carlsbad-San Marcos, CA MSA","$2,009",$921,"$1,187",$607,"$1,410",$750,$767,"$7,651","$91,812"
2P3C,CA,"San Francisco, CA HUD Metro FMR Area","$2,438",$921,"$1,187",$607,"$1,630",$860,$925,"$8,567","$102,806"
2P3C,CA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area","$2,270",$921,"$1,187",$607,"$1,518",$817,$867,"$8,187","$98,246"
2P3C,CA,"San Luis Obispo-Paso Robles, CA MSA","$1,674",$921,"$1,187",$607,"$1,472",$664,$651,"$7,176","$86,110"
2P3C,CA,"Santa Barbara-Santa Maria-Goleta, CA MSA","$1,906",$921,"$1,187",$607,"$1,472",$724,$733,"$7,550","$90,600"
2P3C,CA,"Santa Cruz-Watsonville, CA MSA","$2,045",$921,"$1,187",$607,"$1,472",$759,$778,"$7,769","$93,225"
2P3C,CA,"Santa Rosa-Petaluma, CA MSA","$1,963",$921,"$1,187",$607,"$1,472",$738,$758,"$7,646","$91,749"
2P3C,CA,"Stockton, CA MSA","$1,469",$921,"$1,187",$607,"$1,472",$612,$579,"$6,846","$82,158"
2P3C,CA,"Vallejo-Fairfield, CA MSA","$1,718",$921,"$1,187",$607,"$1,472",$676,$668,"$7,249","$86,983"
2P3C,CA,"Visalia-Porterville, CA MSA","$1,132",$921,"$1,187",$607,"$1,472",$526,$458,"$6,303","$75,634"
2P3C,CA,"Yolo, CA HUD Metro FMR Area","$1,594",$921,"$1,187",$603,"$1,575",$644,$651,"$7,174","$86,091"
2P3C,CA,"Yuba City, CA MSA","$1,173",$921,"$1,187",$603,"$1,472",$536,$468,"$6,360","$76,319"
